@relation 'corpus-weka.filters.unsupervised.attribute.Remove-V-R4812,3190,6771,3992,2668,3158,6530,6069,296,3976,3083,6163,6083,3167,3182,2198,6176,1650,5969,1477,3303,4301,4142,2915,2981,6831,7077,1819,5704,3374,2525,3510,3963,3186,5584,5715,1456,4086,6431,1726,2841,4005,6906,5844,1640,4533,5983,4668,3245,1332,2871,5940,265,1340,6093,7012,4109,1211,4744,3618,1279,4059,4138,3123,5145,4040,2678,5960,3801,551,1357,3170,3205,5511,5351,6202,6429,2072,1773,5403,3966,1928,3927,6908,3180,2741,5853,5813,3132,5899,7090,5452,6212,4255,6491,6124,5906,5808,2305,3213,3176,71,6588,6817,6529,512,233,4178,1202,5815,3637,2356,650,509,3204,6628,1066,4062,4985,572,6143,1613,6996,3076,6059,3185,6708,6989,4780,5982,6857,7025,6137,1812,988,6955,6897,4315,6035,5956,2568,5797,3216,3522,613,2204,5889,3184,2716,2400,323,3821,6546,240,873,5062,2154,1595,5919,6077,5642,5802,2410,3131,1155,1074,2900,3069,1969,2617,7046,2694,4266,4484,6112,1014,2502,3711,3543,4438,1534,4853,2530,1263,3509,7188'

@attribute c_£ numeric
@attribute c_47 numeric
@attribute w_cal numeric
@attribute w_p numeric
@attribute w_txt numeric
@attribute c_33 numeric
@attribute w_claim numeric
@attribute w_to numeric
@attribute w_fre numeric
@attribute w_i numeric
@attribute w_www numeric
@attribute w_mobl numeric
@attribute w_uk numeric
@attribute c_38 numeric
@attribute c_43 numeric
@attribute w_stop numeric
@attribute w_yo numeric
@attribute w_text numeric
@attribute w_or numeric
@attribute w_now numeric
@attribute w_reply numeric
@attribute w_priz numeric
@attribute w_award numeric
@attribute w_win numeric
@attribute w_won numeric
@attribute w_box numeric
@attribute w_serv numeric
@attribute w_ppm numeric
@attribute w_co numeric
@attribute w_from numeric
@attribute w_ton numeric
@attribute w_cash numeric
@attribute w_a numeric
@attribute c_46 numeric
@attribute w_contact numeric
@attribute w_cs numeric
@attribute w_nok numeric
@attribute w_pobox numeric
@attribute w_urgent numeric
@attribute w_our numeric
@attribute w_prize numeric
@attribute w_w numeric
@attribute w_draw numeric
@attribute w_week numeric
@attribute w_per numeric
@attribute w_latest numeric
@attribute w_po numeric
@attribute w_custom numeric
@attribute w_free numeric
@attribute w_new numeric
@attribute w_guarantee numeric
@attribute w_my numeric
@attribute w_for numeric
@attribute w_vouch numeric
@attribute w_ur numeric
@attribute w_valid numeric
@attribute w_video numeric
@attribute w_min numeric
@attribute w_select numeric
@attribute w_rington numeric
@attribute w_mob numeric
@attribute w_await numeric
@attribute w_chat numeric
@attribute w_collect numeric
@attribute w_cost numeric
@attribute w_receiv numeric
@attribute w_apply numeric
@attribute w_on numeric
@attribute w_entry numeric
@attribute w_optout numeric
@attribute w_msg numeric
@attribute c_39 numeric
@attribute c_59 numeric
@attribute w_orang numeric
@attribute w_mins numeric
@attribute w_guaranteed numeric
@attribute w_http numeric
@attribute w_sae numeric
@attribute w_landline numeric
@attribute w_camer numeric
@attribute w_c numeric
@attribute w_rat numeric
@attribute w_poly numeric
@attribute w_but numeric
@attribute c_42 numeric
@attribute w_network numeric
@attribute w_it numeric
@attribute w_hl numeric
@attribute w_tone numeric
@attribute w_me numeric
@attribute w_attempt numeric
@attribute w_holiday numeric
@attribute w_delivery numeric
@attribute w_expir numeric
@attribute w_pound numeric
@attribute w_wk numeric
@attribute w_lt numeric
@attribute w_gt numeric
@attribute w_sms numeric
@attribute c_62 numeric
@attribute c_40 numeric
@attribute w_unsubscrib numeric
@attribute w_pleas numeric
@attribute w_bon numeric
@attribute w_age numeric
@attribute w_private numeric
@attribute w_gbp numeric
@attribute w_ident numeric
@attribute w_ltd numeric
@attribute w_mobileupd numeric
@attribute w_points numeric
@attribute w_mobile numeric
@attribute w_hrs numeric
@attribute w_chant numeric
@attribute c_58 numeric
@attribute w_with numeric
@attribute w_lin numeric
@attribute w_line numeric
@attribute w_code numeric
@attribute w_collection numeric
@attribute w_quiz numeric
@attribute w_lands numeric
@attribute w_info numeric
@attribute w_land numeric
@attribute w_st numeric
@attribute c_45 numeric
@attribute w_every numeric
@attribute w_send numeric
@attribute w_club numeric
@attribute w_pm numeric
@attribute w_wkly numeric
@attribute w_freemsg numeric
@attribute w_wq numeric
@attribute w_that numeric
@attribute w_suite numeric
@attribute w_cod numeric
@attribute w_mths numeric
@attribute w_txts numeric
@attribute w_sk numeric
@attribute w_ok numeric
@attribute w_tri numeric
@attribute w_he numeric
@attribute c_64 numeric
@attribute w_gift numeric
@attribute w_how numeric
@attribute w_offer numeric
@attribute w_ll numeric
@attribute c_44 numeric
@attribute w_urg numeric
@attribute w_thi numeric
@attribute w_show numeric
@attribute w_un-redeemed numeric
@attribute w_am- numeric
@attribute w_ipod numeric
@attribute w_subscrib numeric
@attribute w_colo numeric
@attribute w_row numeric
@attribute w_numb numeric
@attribute w_nd numeric
@attribute w_ts numeric
@attribute w_ac numeric
@attribute w_hg numeric
@attribute w_std numeric
@attribute w_phon numeric
@attribute w_lor numeric
@attribute w_liv numeric
@attribute w_who numeric
@attribute w_xma numeric
@attribute w_stat numeric
@attribute w_congrat numeric
@attribute w_comply numeric
@attribute w_upd numeric
@attribute w_pric numeric
@attribute w_getzed numeric
@attribute w_wc numeric
@attribute w_ldn numeric
@attribute w_fantasy numeric
@attribute w_camcord numeric
@attribute w_camera numeric
@attribute w_repres numeric
@attribute w_ntt numeric
@attribute c_ü numeric
@attribute w_top numeric
@attribute w_nat numeric
@attribute w_play numeric
@attribute CLASS {SPAM,HAM}

@data
0,0,0,0,0,0,0,1.19516,0,2.95147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43897,0,2.95254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HAM
0,3.0846,0,3.44972,3.5019,1.79284,0,3.58548,0,0,0,0,0,0,3.91634,0,0,0,0,0,3.64913,0,0,3.96243,0,0,0,0,0,2.99825,0,4.3218,0,0.418194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77572,0,5.07052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68143,0,0,0,0,0,0,5.25857,0,0,0,0,5.63014,0,0,0,0,0,0,0,0,0,0,0,0,0,5.09951,0,0,0,0,0,0,0,0,5.63014,0,0,0,0,3.31266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SPAM
3.07291,0,0,0,3.5019,3.58567,3.93452,1.19516,3.3376,0,4.0207,0,0,2.45417,0,0,0,0,0,0,0,4.60052,0,0,4.07199,0,0,0,0,0,0,0,3.09168,0.836388,0,0,0,4.8882,4.65558,3.66302,0,0,0,3.70589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,1.19516,0,2.95147,0,0,0,0,0,0,2.18652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54584,1.25458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2075,6.55476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,3.58567,0,0,0,0.983824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HAM
0,6.16921,0,0,3.5019,0,0,1.19516,0,0,0,0,0,0,0,0,2.18652,0,2.62693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.58135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0.983824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,1.96765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4842,0,0,2.89902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HAM
0,6.16921,0,0,7.00381,0,0,2.39032,0,0,0,0,0,0,3.91634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836388,0,0,0,0,0,0,0,4.48273,0,0,0,0,0,0,0,0,0,0,0,0,2.87648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28375,0,0,0,0,0,0,0,0,0,0,3.06135,0,0,0,0,0,0,5.98681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.40699,0,SPAM
